89;77;66;54;43;39;36;32;28;26;25;23;21;23;24;26;28;53;79;105;131;252;374;495;617;667;717;768;818;865;911;958;1005;960;914;869;824;791;759;726;693;689;685;681;677;694;711;729;746;749;753;757;760;768;776;784;793;811;829;847;865;892;919;946;973;998;1023;1048;1074;1013;953;893;833;762;690;618;547;511;476;441;406;392;377;363;348;334;320;307;293;271;249;226;204;175;147;118
53;47;41;35;29;27;25;23;21;20;20;20;20;26;32;38;44;98;152;206;261;367;474;581;688;689;690;690;691;688;684;681;677;657;638;618;599;583;568;553;538;536;535;533;532;542;552;562;572;570;569;568;567;566;566;566;566;577;589;600;611;631;652;672;693;702;711;720;729;683;637;591;545;502;459;416;373;352;331;310;290;278;266;254;242;227;211;196;181;164;148;131;115;99;84;68
57;49;42;34;27;25;24;22;21;21;21;22;22;31;40;49;58;133;207;282;357;471;585;699;813;815;818;820;822;829;836;843;850;823;795;767;739;715;691;667;643;639;635;631;627;638;649;659;670;675;680;685;690;687;685;682;679;694;708;723;738;767;795;824;853;871;889;907;926;858;791;724;657;600;542;485;427;401;375;349;323;309;295;281;266;252;238;224;210;192;174;155;137;117;97;77
47;41;35;29;23;21;20;19;18;17;17;17;17;25;32;40;47;126;205;284;363;422;480;539;598;619;641;662;684;697;711;724;738;706;674;642;610;594;578;562;546;548;550;553;555;566;577;588;599;600;602;604;605;609;613;617;622;643;664;686;707;735;763;790;818;822;826;830;834;765;697;628;560;509;459;408;358;340;323;305;288;275;262;249;236;225;213;202;190;173;156;139;122;103;84;65
48;41;34;28;21;20;18;17;16;16;16;16;17;22;28;33;39;65;91;116;142;189;237;284;331;392;453;514;575;583;590;598;606;563;521;479;437;432;426;421;416;423;431;438;446;459;471;484;496;499;503;506;510;518;526;534;543;573;603;633;663;706;749;792;835;839;844;848;852;765;679;593;506;456;407;357;307;291;274;258;242;231;219;208;196;186;177;167;157;143;130;117;104;90;76;62
19;17;15;13;11;10;10;9;8;9;9;9;9;13;17;20;24;43;61;80;98;129;159;189;220;248;277;305;334;330;326;322;319;305;292;279;265;263;261;259;258;257;257;257;257;260;263;266;269;271;274;276;279;280;282;284;286;292;298;303;309;318;327;336;345;345;345;345;345;318;292;266;240;223;206;189;172;161;151;141;131;123;115;108;100;93;87;80;74;66;59;52;44;38;32;26
20;18;15;13;11;10;9;9;8;8;8;8;8;13;17;22;27;53;79;105;131;187;244;300;357;377;397;417;438;422;407;391;376;363;350;337;324;322;320;317;315;316;318;319;320;325;329;334;338;341;344;347;351;354;358;362;366;371;376;381;386;397;408;419;430;430;431;431;432;394;355;317;279;260;242;223;205;193;180;168;156;147;138;129;121;113;105;98;90;80;70;60;50;43;35;28
18;15;13;11;9;8;8;7;7;7;7;8;8;12;16;20;24;43;63;83;102;147;192;237;282;301;321;341;360;351;341;332;322;304;285;266;247;247;247;246;246;248;251;253;256;258;261;264;266;269;271;273;276;276;276;276;276;286;295;305;315;325;336;347;358;351;344;338;331;304;277;250;223;207;191;175;159;148;138;128;118;112;106;99;93;87;80;74;68;61;54;47;40;35;29;23
31;28;25;22;19;17;16;14;13;13;14;14;15;21;27;33;39;66;92;119;146;198;250;302;354;408;461;515;568;553;537;521;505;476;447;418;389;395;401;407;414;418;422;426;430;435;440;446;451;455;460;464;468;478;487;497;507;526;546;566;586;616;647;677;708;691;674;657;640;576;512;448;384;351;318;285;252;237;222;208;193;183;173;163;153;145;137;128;120;109;97;86;74;63;53;42
23;21;18;15;13;12;11;10;9;8;8;7;7;8;10;11;12;21;29;37;46;67;89;111;133;183;232;282;331;339;346;354;361;338;316;293;270;277;284;290;297;305;312;320;327;332;336;341;346;346;346;345;345;356;366;376;387;396;405;415;424;447;470;493;516;504;492;481;469;425;381;337;294;273;253;233;213;198;184;170;156;146;135;125;115;111;106;102;98;91;84;77;71;59;47;35
